□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
70,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,26.6118,202311,03,"9,200",13,-,-,2019,동서동2길 60,-,직거래,-
71,경상남도 창원시 마산합포구 부림동,83-18,0083,0018,강남 와이즈하우스,27.5350,202311,02,"3,500",3,-,-,2015,3·15대로 353,-,중개거래,경남 창원마산합포구
72,경상남도 창원시 마산합포구 부림동,83-18,0083,0018,강남 와이즈하우스,27.5350,202311,02,"3,800",2,-,-,2015,3·15대로 353,-,중개거래,경남 창원마산합포구
73,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,21.4400,202310,31,"3,000",10,-,-,1999,해안대로 15,-,직거래,-
74,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202310,27,"6,100",7,-,-,2017,해안대로 376,-,중개거래,경남 창원마산합포구
75,경상남도 창원시 마산합포구 산호동,6-4,0006,0004,SQUARE_B,23.4220,202310,24,"12,932",20,-,-,2023,용마로 106,-,중개거래,경남 창원시마산합포구
76,경상남도 창원시 마산합포구 오동동,322,0322,0000,중앙마린파이브아파트,40.9200,202310,23,"8,500",3,-,-,2014,오동동14길 67,-,직거래,-
77,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,36.1500,202310,20,"4,300",14,-,-,1999,해안대로 15,-,중개거래,경남 창원마산합포구
78,경상남도 창원시 마산합포구 부림동,83-18,0083,0018,강남 와이즈하우스,27.5350,202310,19,"5,000",4,-,-,2015,3·15대로 353,-,중개거래,경남 창원성산구
79,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202310,15,"2,600",4,-,-,1999,월영동13길 9,-,중개거래,경남 창원마산합포구
80,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,34.3875,202310,10,"4,500",5,-,-,2003,월영동로 7,-,중개거래,경남 창원마산합포구
81,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,22.3800,202310,05,"2,750",11,-,-,1999,해안대로 15,-,중개거래,경남 창원마산합포구
82,경상남도 창원시 마산합포구 신포동2가,85-6,0085,0006,기전씨티텔,47.3400,202310,04,"5,950",11,-,-,1998,동서동2길 41,-,직거래,-
83,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202309,27,"2,150",12,-,-,2006,해안대로 367,-,중개거래,경남 창원마산합포구
84,경상남도 창원시 마산합포구 월남동2가,4-1,0004,0001,씨티빌오피스텔,19.8000,202309,18,"2,250",7,-,-,2002,3·15대로 77,-,중개거래,경남 창원마산합포구
85,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,22.5975,202309,17,"3,550",7,-,-,2003,월영동로 7,-,중개거래,경남 창원마산합포구
86,경상남도 창원시 마산합포구 산호동,460-28,0460,0028,덕산세영오피스텔,59.7700,202309,13,"21,186",4,-,-,2023, ,-,직거래,-
