시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,비고,lng,lat
경상남도 창원성산구 상남동,3*,단독,12m미만,759.93,646.0,201602,4,"       324,000",2007.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 성주동,1**,다가구,12m미만,261.96,263.9,201601,15,"        70,000",2016.0,삼정자로33번길,2. 성산구_단독다가구(매매),128.709402752524,35.1989455144038
경상남도 창원성산구 성주동,1**,다가구,12m미만,410.7,264.1,201507,22,"        80,500",2015.0,창원대로1137번길,2. 성산구_단독다가구(매매),128.7099577792,35.1964797836009
경상남도 창원성산구 성주동,1**,다가구,12m미만,398.51,265.8,201603,14,"        77,000",2015.0,삼정자로52번길,2. 성산구_단독다가구(매매),128.711962875588,35.1968671779882
경상남도 창원성산구 성주동,1**,다가구,25m미만,419.52,267.0,201602,29,"        86,000",2012.0,삼정자로63번길,2. 성산구_단독다가구(매매),128.712906983125,35.2014846397644
경상남도 창원성산구 성주동,1**,다가구,12m미만,257.12,270.1,201603,1,"        81,500",2011.0,삼정자로51번길,2. 성산구_단독다가구(매매),128.711537980732,35.1992214892038
경상남도 창원성산구 성주동,1**,단독,12m미만,159.47,263.9,201507,28,"        74,000",2010.0,삼정자로33번길,2. 성산구_단독다가구(매매),128.709402752524,35.1989455144038
경상남도 창원성산구 성주동,1**,단독,12m미만,390.45,263.9,201511,27,"        89,000",2010.0,삼정자로33번길,2. 성산구_단독다가구(매매),128.709402752524,35.1989455144038
경상남도 창원성산구 성주동,1**,단독,12m미만,403.08,264.2,201507,7,"        87,000",2015.0,삼정자로33번길,2. 성산구_단독다가구(매매),128.709402752524,35.1989455144038
경상남도 창원성산구 성주동,1**,단독,12m미만,412.5,264.4,201510,29,"        89,800",2013.0,삼정자로52번길,2. 성산구_단독다가구(매매),128.711962875588,35.1968671779882
경상남도 창원성산구 안민동,3**,단독,8m미만,34.38,280.0,201508,19,"        33,000",1936.0,안민안길27번길,2. 성산구_단독다가구(매매),128.691209945545,35.1875932985866
