NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
120,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",7,공공기관,개인,2024,합포로 159-1,-,직거래,-
121,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",10,공공기관,개인,2024,합포로 159-1,-,직거래,-
122,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",10,공공기관,개인,2024,합포로 159-1,-,직거래,-
123,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"29,582",9,공공기관,개인,2024,합포로 159-1,-,직거래,-
124,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",9,공공기관,개인,2024,합포로 159-1,-,직거래,-
125,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",9,공공기관,개인,2024,합포로 159-1,-,직거래,-
126,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"29,582",8,공공기관,개인,2024,합포로 159-1,-,직거래,-
127,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"28,729",4,공공기관,개인,2024,합포로 159-1,-,직거래,-
128,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,008",3,공공기관,개인,2024,합포로 159-1,-,직거래,-
129,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,008",4,공공기관,개인,2024,합포로 159-1,-,직거래,-
130,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,008",3,공공기관,개인,2024,합포로 159-1,-,직거래,-
131,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"29,582",6,공공기관,개인,2024,합포로 159-1,-,직거래,-
132,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",6,공공기관,개인,2024,합포로 159-1,-,직거래,-
133,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",6,공공기관,개인,2024,합포로 159-1,-,직거래,-
134,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"29,582",5,공공기관,개인,2024,합포로 159-1,-,직거래,-
135,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",5,공공기관,개인,2024,합포로 159-1,-,직거래,-
136,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",5,공공기관,개인,2024,합포로 159-1,-,직거래,-
137,경상남도 창원시 마산합포구 월남동2가,4-1,0004,0001,씨티빌오피스텔,24.7262,202405,21,"2,000",4,개인,개인,2002,3·15대로 77,-,중개거래,경남 창원시마산합포구
138,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202405,19,"3,000",4,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시마산합포구
139,경상남도 창원시 마산합포구 산호동,427-2,0427,0002,기전모닝텔,32.8000,202405,18,"3,500",9,개인,개인,1998,합포남2길 6,-,중개거래,경남 창원시마산합포구
140,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,24.7440,202405,16,"5,500",6,개인,개인,2017,해안대로 376,-,중개거래,경남 창원시성산구
141,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202405,10,"3,600",7,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시마산합포구
142,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202405,10,"3,050",13,개인,개인,2003,합포로 102,-,중개거래,경남 창원시마산합포구
143,경상남도 창원시 마산합포구 오동동,17-150,0017,0150,삼광프리존,27.0075,202405,10,"3,050",13,개인,개인,2003,합포로 102,-,중개거래,경남 창원시마산합포구
144,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,28.5557,202405,09,"5,500",15,개인,개인,2018,문화의길 15,-,중개거래,경남 창원시마산합포구
145,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,26.6118,202405,09,"9,700",8,개인,개인,2019,동서동2길 60,-,중개거래,경남 창원시마산합포구
146,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,23.2698,202405,07,"9,700",11,개인,개인,2019,동서동2길 60,-,직거래,-
147,경상남도 창원시 마산합포구 신포동2가,85-6,0085,0006,기전씨티텔,37.0800,202405,04,"5,700",4,개인,개인,1998,동서동2길 41,-,중개거래,경남 창원시마산합포구
148,경상남도 창원시 마산합포구 부림동,83-18,0083,0018,강남 와이즈하우스,27.5350,202405,01,"6,200",8,개인,개인,2015,3·15대로 353,-,중개거래,경남 창원시마산합포구
149,경상남도 창원시 마산합포구 중앙동3가,4-192,0004,0192,리베로오피스텔,22.6200,202405,01,"3,000",2,개인,개인,2003,중앙북7길 7,-,중개거래,경남 창원시마산합포구
150,경상남도 창원시 마산합포구 중앙동3가,4-192,0004,0192,리베로오피스텔,22.6200,202404,30,"3,100",5,개인,개인,2003,중앙북7길 7,-,중개거래,경남 창원시마산합포구
151,경상남도 창원시 마산합포구 산호동,36-18,0036,0018,동원오피스텔,30.7800,202404,29,"2,800",2,개인,개인,2004,산호남2길 1,-,중개거래,경남 창원시마산합포구
