시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,700",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 중평동,1-3,1,3,미소오피스텔,34.73,201703,15,"         3,700",6,2004.0,중원서로 41-1,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,650",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,39.78,201703,9,"         6,500",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,38.88,201703,9,"         6,380",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,38.88,201703,9,"         6,380",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,38.88,201703,9,"         6,400",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,42.03,201703,9,"         6,900",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,27.72,201703,16,"         3,000",5,2001.0,충장로176번길 18,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,32.61,201703,7,"         3,450",5,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,32.61,201703,27,"         3,350",6,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,43.18,201703,9,"         7,000",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,25.79,201704,3,"         1,600",2,2001.0,충장로176번길 18,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,31.56,201704,2,"         3,400",4,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,201705,3,"         3,300",7,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201705,31,"         4,400",9,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,31.56,201706,1,"         3,500",2,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 경화동,1165-2,1165,2,	(1165-2)	,59.72,201706,1,"         8,700",4,2012.0,경화로21번길 37,,,,,,
