□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 단독다가구(매매),,,,,주소구분 : 지번 주소,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,
,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
19,경상남도 창원시 진해구 여좌동,1**,단독,12m미만,116.86,188.60,202012,22,"25,000",-,-,1900,여좌남로41번길,-,-,-
20,경상남도 창원시 진해구 여좌동,9**,단독,8m미만,63.60,99.20,202012,19,"16,025",-,-,2002,대야남로,20210120,-,-
21,경상남도 창원시 진해구 경화동,3**,단독,8m미만,99.26,152.00,202012,18,"15,500",-,-,1985,경화로15번길,-,-,-
22,경상남도 창원시 진해구 경화동,7**,단독,12m미만,40.14,152.00,202012,16,"14,500",-,-,1938,충장로305번길,-,-,-
23,경상남도 창원시 진해구 여좌동,7**,단독,8m미만,70.08,122.30,202012,15,"11,150",-,-,1993,여좌남로10번길,-,-,-
24,경상남도 창원시 진해구 소사동,1**,단독,8m미만,117.63,352.30,202012,15,"23,000",-,-,1992,소사로59번나길,-,-,-
25,경상남도 창원시 진해구 용원동,1***,다가구,25m미만,489.10,217.10,202012,14,"74,700",-,-,2006,용원남로,-,-,-
26,경상남도 창원시 진해구 경화동,1***,단독,8m미만,67.44,147.00,202012,14,"13,450",-,-,1980,조천로13번길,-,-,-
27,경상남도 창원시 진해구 경화동,1***,단독,12m미만,123.99,96.00,202012,14,"20,900",-,-,2002,조천로7번길,-,-,-
28,경상남도 창원시 진해구 여좌동,9**,단독,8m미만,68.10,123.90,202012,13,"17,000",-,-,1961,대야로,-,-,-
29,경상남도 창원시 진해구 경화동,6**,단독,8m미만,76.69,152.00,202012,12,"13,900",-,-,1992,경화로30번길,-,-,-
30,경상남도 창원시 진해구 이동,6**,단독,8m미만,99.36,200.10,202012,11,"22,000",-,-,1993,충장로450번길,-,-,-
