시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 진북면 이목리,1**,단독,8m미만,11.9,56,201901,24,"         2,700",1990,학동로
경상남도 창원마산합포구 진북면 인곡리,5**,단독,8m미만,92.29,514,201807,19,"        23,000",2016,의림로
경상남도 창원마산합포구 진북면 인곡리,산1**,단독,-,223.95,1172,201807,25,"         7,000",2008,의림로
경상남도 창원마산합포구 진북면 정현리,5**,단독,8m미만,99.4,276,201808,11,"        11,200",1960,대현길
경상남도 창원마산합포구 진북면 지산리,2**,단독,12m미만,72.72,64,201809,11,"        10,000",1980,지산1길
경상남도 창원마산합포구 진북면 지산리,2**,단독,8m미만,21.81,179,201905,18,"         5,500",2008,지산4길
경상남도 창원마산합포구 진북면 지산리,2**,단독,12m미만,83.16,275,201904,8,"        10,000",2008,지산4길
경상남도 창원마산합포구 진북면 지산리,2**,단독,8m미만,99,485,201811,10,"        15,500",1960,지산2길
경상남도 창원마산합포구 진북면 추곡리,4**,단독,8m미만,63.6,427,201808,13,"        10,000",2003,추곡1길
경상남도 창원마산합포구 진전면 고사리,6**,단독,8m미만,131.74,330,201905,30,"         8,027",1998,원산2길
경상남도 창원마산합포구 진전면 고사리,5**,단독,8m미만,112.37,1035,201811,1,"        30,000",1990,의산삼일로
경상남도 창원마산합포구 진전면 금암리,6*,단독,-,81.07,290,201808,6,"         4,500",2018,금암길
경상남도 창원마산합포구 진전면 동산리,1**,단독,8m미만,121.23,595,201901,24,"        20,500",2013,동산1길
경상남도 창원마산합포구 진전면 봉암리,1**,단독,8m미만,60.54,152,201901,8,"         3,800",2002,진전봉암길
경상남도 창원마산합포구 진전면 시락리,1*,단독,12m미만,139.2,72,201809,12,"        10,500",1960,아랫소포길
경상남도 창원마산합포구 진전면 시락리,2**,단독,8m미만,89.95,239,201807,2,"         5,000",1996,회진로
경상남도 창원마산합포구 진전면 시락리,1**,단독,8m미만,98.34,631,201902,20,"        24,166",2014,회진로
경상남도 창원마산합포구 진전면 시락리,산1**,단독,-,98.34,1267.42,201903,31,"        36,705",2008,
경상남도 창원마산합포구 진전면 양촌리,3**,단독,8m미만,77.4,381,201812,5,"         7,960",1990,양촌2길
경상남도 창원마산합포구 진전면 양촌리,9*,단독,8m미만,42.98,489,201809,11,"         4,800",1960,양촌1길
경상남도 창원마산합포구 진전면 양촌리,4**,단독,8m미만,69.42,568,201901,15,"         7,300",1960,개양길
경상남도 창원마산합포구 진전면 여양리,4**,단독,8m미만,66.44,163,201808,14,"         2,500",1960,둔덕안담길
경상남도 창원마산합포구 진전면 이명리,6**,단독,8m미만,65.79,180,201903,15,"        10,970",2005,이명3길
경상남도 창원마산합포구 진전면 이명리,7**,단독,8m미만,118.4,701,201810,31,"        19,500",1990,이명3길
경상남도 창원마산합포구 진전면 일암리,7**,단독,8m미만,69.42,602,201902,10,"        11,830",2011,적석산길
경상남도 창원마산합포구 진전면 일암리,산1**,단독,8m미만,18,673,201904,2,"         8,000",2017,일암3길
경상남도 창원마산합포구 진전면 임곡리,3**,단독,8m미만,99.17,390,201811,8,"         9,000",1960,진목길
경상남도 창원마산합포구 진전면 창포리,1**,단독,8m미만,29.75,486,201809,10,"         8,000",1960,창포1길
경상남도 창원마산합포구 진전면 평암리,4**,단독,8m미만,99.91,502,201904,14,"        11,700",2013,평암로
경상남도 창원마산합포구 진전면 평암리,5*,단독,8m미만,124.28,641,201902,25,"        18,750",2012,미천2길
경상남도 창원마산합포구 창포동3가,*,다가구,12m미만,348.48,185.1,201904,9,"        59,500",2004,문화동11길
경상남도 창원마산합포구 청계동,*,단독,12m미만,29.09,177.2,201811,23,"        16,500",1990,문화남4길
경상남도 창원마산합포구 추산동,*,단독,25m미만,78.96,33.1,201812,8,"         9,400",1990,북성로
경상남도 창원마산합포구 추산동,4*,단독,8m미만,93.98,110.9,201905,28,"         7,000",1976,성호남2길
경상남도 창원마산합포구 추산동,7*,단독,8m미만,103.2,118,201812,17,"        10,000",1995,성호남6길
경상남도 창원마산합포구 평화동,*,단독,8m미만,85.47,101.2,201905,30,"        10,000",1998,문화북6길
경상남도 창원마산합포구 평화동,*,단독,12m미만,190.52,375.1,201901,7,"        54,000",1982,문화북4길
경상남도 창원마산합포구 해운동,1*,단독,25m미만,126.82,92.9,201810,4,"        30,000",1995,가포로
