□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 회원동,667-2,0667,0002,거북,41.19,44.88,201903,4,"         7,000",3,1981,회원북24길 61
경상남도 창원마산회원구 회원동,234-7,0234,0007,건우만복,36.31,35.38,201810,30,"         4,000",1,1992,회원서1길 37-40
경상남도 창원마산회원구 회원동,643-7,0643,0007,무학AB,38.28,38.68,201901,17,"         4,800",1,1981,회원남33길 37
경상남도 창원마산회원구 회원동,467-1,0467,0001,새한,55.44,31.3,201904,11,"         7,690",1,1980,회원남19길 15
경상남도 창원마산회원구 회원동,493-1,0493,0001,새한2,33.42,23.6,201811,2,"         5,010",1,1980,회원남17길 9
경상남도 창원마산회원구 회원동,647-7,0647,0007,청송주택,50.94,41.7,201902,18,"         5,200",2,1985,무학로 555
경상남도 창원마산회원구 회원동,647-7,0647,0007,청송주택,50.94,41.7,201904,26,"         4,300",2,1985,무학로 555
경상남도 창원마산회원구 회원동,637-15,0637,0015,한솔빌리지,79.335,51.84,201812,6,"        18,500",3,2014,회원북13길 142
경상남도 창원마산회원구 회원동,248-16,0248,0016,"향기나라창(6,7호)",69.53,51.75,201809,21,"        10,500",4,2012,회원서1길 50-8
경상남도 창원마산회원구 회원동,65-88,0065,0088,회원A,58.61,49.68,201808,4,"         9,000",1,1980,회원동로 29
경상남도 창원마산회원구 회원동,65-88,0065,0088,회원A,67.57,49.68,201808,18,"         7,300",1,1980,회원동로 29
