□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 소답동,111-9,0111,0009,칠성상가,76.935,28.41,201808,9,"         8,000",5,1992,의안로12번길 11
경상남도 창원의창구 소답동,111-9,0111,0009,칠성상가,25.4,9.38,201906,20,"         3,000",4,1992,의안로12번길 11
경상남도 창원의창구 소답동,150-7,0150,0007,해뜨는집,65.15,33.44,201901,2,"         9,000",4,1997,읍성로101번길 8
경상남도 창원의창구 팔용동,168-4,0168,0004,대한파크,64.1,28.36,201810,10,"         8,000",6,1996,의창대로116번길 12
경상남도 창원의창구 팔용동,168-4,0168,0004,대한파크,64.1,28.36,201810,11,"         8,000",6,1996,의창대로116번길 12
경상남도 창원의창구 팔용동,65,0065,0000,프라임하우스1단지,209.12,329.49,201808,17,"        85,000",1,2010,반계로62번길 24
경상남도 창원의창구 팔용동,65,0065,0000,프라임하우스1단지,224.29,353.4,201809,13,"        80,000",1,2010,반계로62번길 24
경상남도 창원의창구 팔용동,65,0065,0000,프라임하우스1단지,224.29,353.4,201901,17,"        80,000",1,2010,반계로62번길 24
경상남도 창원의창구 팔용동,65,0065,0000,프라임하우스1단지,224.29,353.4,201903,15,"        78,000",1,2010,반계로62번길 24
경상남도 창원의창구 팔용동,66,0066,0000,프라임하우스2단지,209.12,319.62,201812,26,"        72,000",1,2010,반계로62번길 23
경상남도 창원의창구 팔용동,67,0067,0000,프라임하우스3단지,209.12,307.25,201906,24,"        75,000",1,2010,반계로62번길 12
경상남도 창원의창구 팔용동,68,0068,0000,프라임하우스4단지,224.29,330.72,201904,29,"        83,500",1,2010,반계로62번길 11
