□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,59.9841,201711,8,"        14,900",4,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,72.5162,201712,15,"        16,400",10,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,59.9841,201804,20,"        14,000",18,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,72.5162,201804,26,"        17,750",6,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,59.9841,201805,2,"        15,000",13,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,59.9573,201806,17,"        14,750",16,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,324,0324,0000,라임하우스아파트 2차,69.6512,201711,11,"        20,500",3,2016,광려로 76-24
경상남도 창원마산회원구 내서읍 삼계리,324,0324,0000,라임하우스아파트 2차,82.106,201803,2,"        24,999",5,2016,광려로 76-24
경상남도 창원마산회원구 내서읍 삼계리,505-1,0505,0001,마산삼계주공3단지,49.71,201707,13,"        11,500",5,2001,삼계본동1길 86
경상남도 창원마산회원구 내서읍 삼계리,505-1,0505,0001,마산삼계주공3단지,49.71,201709,26,"        11,700",13,2001,삼계본동1길 86
경상남도 창원마산회원구 내서읍 삼계리,505-1,0505,0001,마산삼계주공3단지,49.71,201709,29,"         9,500",15,2001,삼계본동1길 86
