□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
85,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,84.9370,202211,24,"59,000",-,47,-,-,2015,삼호로 80,-,중개거래,경남 창원마산회원구,-,아파트
86,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,59.9700,202211,24,"19,000",-,7,-,-,1998,양덕옛2길 16,-,중개거래,경남 창원마산회원구,-,아파트
87,경상남도 창원시 마산회원구 내서읍 중리,1054,1054,0000,중리백로,59.9200,202211,23,"9,800",-,4,-,-,1995,중리상곡로 20-1,-,중개거래,경남 창원마산회원구,-,아파트
88,경상남도 창원시 마산회원구 내서읍 중리,1056,1056,0000,시영장미,47.6100,202211,23,"4,000",-,4,-,-,1992,중리상곡로 18,-,직거래,-,-,아파트
89,경상남도 창원시 마산회원구 내서읍 삼계리,14,0014,0000,화성아파트,124.6470,202211,23,"27,600",-,2,-,-,1998,삼계8길 31,-,중개거래,경남 창원마산회원구,-,아파트
90,경상남도 창원시 마산회원구 석전동,284-2,0284,0002,개나리,60.6000,202211,23,"7,500",-,2,-,-,1985,석전서6길 43,-,중개거래,경남 창원의창구,-,아파트
91,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,135.6250,202211,23,"39,200",-,4,-,-,2005,호원로 359,-,중개거래,경남 창원마산회원구,-,아파트
92,경상남도 창원시 마산회원구 구암동,18-2,0018,0002,교직원,66.6900,202211,23,"12,700",-,2,-,-,1977,구암서5길 15,-,중개거래,경남 창원마산회원구,-,아파트
93,경상남도 창원시 마산회원구 석전동,146-11,0146,0011,일우,84.9800,202211,22,"9,800",-,4,-,-,1992,석전남23길 12,-,중개거래,경남 창원마산회원구,-,아파트
94,경상남도 창원시 마산회원구 내서읍 삼계리,38,0038,0000,한우리,59.8650,202211,22,"11,500",-,3,-,-,2000,삼계1길 48,-,중개거래,경남 창원마산회원구,-,아파트
95,경상남도 창원시 마산회원구 구암동,24-7,0024,0007,태화,49.2600,202211,22,"7,550",-,5,-,-,1982,구암남7길 34,-,중개거래,경남 창원마산회원구,-,아파트
