NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
85,경상남도 창원시 의창구 도계동,324-7,0324,0007,금강국화,66.8100,202211,20,"14,700",-,7,-,-,1996,하남천서길9번길 6,-,중개거래,경남 창원의창구,-,아파트
86,경상남도 창원시 의창구 소답동,130-2,0130,0002,국도개나리맨션,59.9400,202211,20,"11,300",-,1,-,-,1994,의안로56번길 30,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
87,경상남도 창원시 의창구 팔용동,123-1,0123,0001,벽산블루밍A,59.9700,202211,19,"28,500",-,15,-,-,2000,반계로 104-9,-,중개거래,경남 창원의창구,-,아파트
88,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202211,19,"28,500",-,17,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
89,경상남도 창원시 의창구 동읍 용정리,20-9,0020,0009,성진까치빌라트3,54.6500,202211,19,"6,700",-,1,-,-,1995,용정길46번길 49-1,-,중개거래,경남 창원의창구,-,아파트
90,경상남도 창원시 의창구 봉곡동,66,0066,0000,늘푸른마을코오롱,84.3840,202211,19,"29,000",-,4,-,-,1999,지귀로95번길 7,-,중개거래,경남 창원의창구,-,아파트
91,경상남도 창원시 의창구 팔용동,123-1,0123,0001,벽산블루밍A,59.9700,202211,19,"27,500",-,20,-,-,2000,반계로 104-9,-,중개거래,경남 창원의창구,-,아파트
92,경상남도 창원시 의창구 도계동,317-10,0317,0010,대풍훼미리,59.3300,202211,19,"13,000",-,7,-,-,1992,하남천서길51번길 10,-,중개거래,경남 창원의창구,-,아파트
93,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202211,17,"47,000",-,15,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구,-,아파트
94,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,115.7299,202211,17,"102,000",-,35,-,-,2019,중동로 34,-,중개거래,경남 창원마산회원구 경남 창원성산구 경남 함안군,-,아파트
95,경상남도 창원시 의창구 소답동,151-12,0151,0012,아람빌라,59.2200,202211,16,"5,300",-,5,-,-,1994,의창대로317번길 21,-,중개거래,경남 창원의창구,-,아파트
96,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.9832,202211,15,"27,000",-,2,-,-,2014,감계로 277,-,중개거래,경남 창원의창구,-,아파트
97,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,84.9921,202211,15,"27,000",-,16,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
98,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.6211,202211,13,"53,000",-,40,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구,-,아파트
99,경상남도 창원시 의창구 동읍 용잠리,250,0250,0000,삼진,52.1500,202211,13,"4,700",-,5,-,-,1989,의창대로915번길 8,-,중개거래,경남 창원진해구,-,아파트
100,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,84.9940,202211,12,"24,500",-,9,-,-,2013,동곡로 35,-,직거래,-,-,아파트
101,경상남도 창원시 의창구 북면 무동리,123-1,0123,0001,휴먼빌1단지,84.9940,202211,12,"20,000",-,7,-,-,2013,동곡로 33,-,중개거래,경남 창원의창구,-,아파트
102,경상남도 창원시 의창구 소계동,708-2,0708,0002,협성빌라맨션,78.2600,202211,12,"11,000",-,5,-,-,1987,소계로90번길 28,-,중개거래,경남 창원의창구,-,아파트
103,경상남도 창원시 의창구 팔용동,124-1,0124,0001,극동,108.7200,202211,11,"35,000",-,4,-,-,1994,팔용로 446,-,중개거래,경남 창원의창구 부산 사상구,-,아파트
104,경상남도 창원시 의창구 중동,788,0788,0000,창원중동유니시티4단지,72.9280,202211,11,"61,500",-,27,-,-,2019,중동로 78,-,중개거래,경남 창원의창구,-,아파트
105,경상남도 창원시 의창구 도계동,302-5,0302,0005,금강장미,59.0700,202211,11,"12,800",-,4,-,-,1995,도계두리길6번길 5-8,-,중개거래,경남 창원의창구,-,아파트
106,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,84.9921,202211,11,"26,200",-,5,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
107,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202211,10,"54,000",-,48,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
108,경상남도 창원시 의창구 동정동,277,0277,0000,흥한웰가,84.9100,202211,10,"33,000",-,1,-,-,2004,천주로 33,-,직거래,-,-,아파트
109,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,84.3838,202211,10,"68,000",-,2,-,-,2019,중동로 34,-,중개거래,경남 창원의창구,-,아파트
110,경상남도 창원시 의창구 북면 무동리,123-1,0123,0001,휴먼빌1단지,84.9900,202211,10,"23,750",-,7,-,-,2013,동곡로 33,-,직거래,-,-,아파트
111,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,84.7886,202211,09,"74,000",-,28,-,-,2019,중동로 77,-,중개거래,경남 창원의창구,-,아파트
112,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.6211,202211,09,"50,000",-,14,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구,-,아파트
113,경상남도 창원시 의창구 동읍 무성리,152,0152,0000,우성전원,66.3850,202211,09,"3,400",-,3,-,-,1991,무성길47번길 17,-,직거래,-,-,아파트
114,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202211,09,"28,500",-,11,-,-,2019,감계로 342,-,직거래,-,-,아파트
115,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202211,08,"28,500",-,17,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
116,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,84.3838,202211,07,"70,500",-,33,-,-,2019,중동로 34,-,중개거래,경남 창원마산회원구 경남 창원성산구,-,아파트
117,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,59.9700,202211,07,"29,800",-,14,-,-,1999,반계로 104-21,-,중개거래,경남 창원의창구,-,아파트
118,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.9000,202211,07,"24,000",-,14,-,-,1993,반계로 101,-,중개거래,경남 창원의창구,-,아파트
119,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,84.5002,202211,07,"35,500",-,1,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
120,경상남도 창원시 의창구 동정동,536-2,0536,0002,남아그린타워,59.9650,202211,06,"14,000",-,10,-,-,1997,동정길 7,-,중개거래,경남 창원의창구,-,아파트
121,경상남도 창원시 의창구 소답동,110-1,0110,0001,국도그랜드맨션,59.8100,202211,05,"15,500",-,9,-,-,1997,의안로22번길 2,-,중개거래,경남 창원의창구,-,아파트
122,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.6211,202211,05,"62,000",-,37,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
123,경상남도 창원시 의창구 북면 감계리,230-1,0230,0001,창원감계힐스테이트1차,84.8931,202211,05,"29,000",-,17,-,-,2014,동전로 86,-,중개거래,경남 창원의창구,-,아파트
124,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,103.5800,202211,04,"55,300",-,12,-,-,2011,도계로 135,-,중개거래,경남 창원의창구,-,아파트
125,경상남도 창원시 의창구 동정동,288,0288,0000,동정오성아파트,41.7900,202211,04,"10,500",-,5,-,-,1996,서상로 27,-,중개거래,경남 창원의창구,-,아파트
126,경상남도 창원시 의창구 도계동,307-8,0307,0008,동광빌라,84.9800,202211,04,"17,500",-,2,-,-,1991,도계로17번길 2,-,중개거래,경남 창원의창구,-,아파트
127,경상남도 창원시 의창구 팔용동,123-1,0123,0001,벽산블루밍A,59.9700,202211,04,"27,800",-,10,-,-,2000,반계로 104-9,-,중개거래,경남 창원의창구,-,아파트
128,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.9200,202211,04,"22,000",-,1,-,-,1993,반계로 101,-,중개거래,경남 창원성산구,-,아파트
129,경상남도 창원시 의창구 도계동,322-3,0322,0003,강남훼미리,73.5300,202211,04,"16,500",-,7,-,-,1997,하남천서길21번길 8-14,-,중개거래,경남 창원의창구,-,아파트
