NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
40,경상남도 창원시 마산회원구 구암동,1339-18,1339,0018,경상A,48.8600,43.4000,202408,08,"6,600",1,개인,개인,1983,구암북12길 94,-,중개거래,경남 창원시 마산회원구,24.08.14,연립
41,경상남도 창원시 마산회원구 내서읍 삼계리,341-15,0341,0015,삼계위드필타운하우스1단지,70.8353,94.0415,202408,01,"15,000",2,개인,개인,2015,광려로 78-51,-,중개거래,경남 창원시 마산회원구,24.08.27,연립
42,경상남도 창원시 마산회원구 내서읍 삼계리,766-1,0766,0001,위드필2,59.8010,75.3750,202407,29,"10,750",2,개인,개인,2013,삼계로 117-1,-,중개거래,경남 창원시 마산회원구,24.08.29,연립
43,경상남도 창원시 마산회원구 석전동,194-27,0194,0027,화원주택,47.4000,50.4790,202407,24,"3,800",2,개인,개인,1981,석전서6길 133,-,중개거래,경남 창원시 마산회원구,24.08.12,연립
44,경상남도 창원시 마산회원구 회성동,578,0578,0000,퀀텀로제,84.9822,64.2329,202407,23,"20,000",2,개인,개인,2017,회성남20길 47,-,직거래,-,24.08.21,연립
45,경상남도 창원시 마산회원구 내서읍 삼계리,326-5,0326,0005,라임하우스(326-5),59.9600,76.8125,202407,22,"10,200",2,개인,개인,2013,광려로 76-16,-,중개거래,경남 창원시 마산회원구,24.10.11,다세대
46,경상남도 창원시 마산회원구 내서읍 상곡리,180-1,0180,0001,드림팰리스,83.7900,80.3720,202407,19,"8,000",2,개인,개인,2007,상곡로 81,-,중개거래,경남 창원시마산회원구,24.07.30,연립
47,경상남도 창원시 마산회원구 내서읍 삼계리,751-4,0751,0004,"T.S휴먼빌라트B,C동",84.6900,100.2500,202407,15,"23,200",4,개인,개인,2016,삼계로 127-19,-,중개거래,경남 창원시마산합포구,24.07.16,연립
48,경상남도 창원시 마산회원구 회성동,447-25,0447,0025,(447-25),36.6600,33.0000,202407,11,"2,000",2,개인,개인,1983,회성남10길 22-2,-,직거래,-,24.07.12,연립
49,경상남도 창원시 마산회원구 내서읍 삼계리,440,0440,0000,두정숲속애2차(1동),75.3850,85.2390,202407,03,"8,700",4,개인,개인,2012,삼계숲길 169,-,중개거래,경남 창원시마산회원구,24.07.03,다세대
