NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
11,경상남도 창원시 의창구 서상동,10-2,0010,0002,대암빌라A동,58.0000,31.4450,202410,28,"8,500",1,개인,개인,2001,천주로12번길 34-15,-,중개거래,경남 창원시 의창구,24.11.08,다세대
12,경상남도 창원시 의창구 소계동,702-25,0702,0025,부전빌라,69.0000,52.2500,202410,23,"7,500",2,개인,개인,1998,소계로94번길 19-7,-,직거래,-,24.10.25,다세대
13,경상남도 창원시 의창구 소답동,142-39,0142,0039,영진블루빌B,78.4400,58.2000,202410,12,"14,000",2,개인,개인,2010,의창대로289번길 15,-,직거래,-,24.10.17,다세대
14,경상남도 창원시 의창구 도계동,306-8,0306,0008,청송빌라,66.3900,35.3500,202410,09,"13,500",4,개인,개인,1994,도계로17번길 8,-,중개거래,경남 창원시 의창구,24.11.20,다세대
15,경상남도 창원시 의창구 동읍 용정리,150-6,0150,0006,헬리체자여,72.9637,57.3859,202410,08,"13,500",5,개인,개인,2018,자여로112번길 21,-,중개거래,경남 창원시 의창구,-,연립
16,경상남도 창원시 의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7000,61.5100,202410,08,"6,570",2,법인,법인,2015,신리길 25,-,직거래,-,24.10.23,연립
17,경상남도 창원시 의창구 소답동,119-4,0119,0004,성수빌라11차,68.3000,283.1000,202410,05,"6,200",2,개인,개인,1996,의안로32번길 22,-,중개거래,경남 창원시 의창구,24.11.08,다세대
18,경상남도 창원시 의창구 도계동,351-7,0351,0007,중원빌라,82.5000,40.9000,202410,05,"11,800",4,개인,개인,1996,도계로60번길 13-13,-,중개거래,경남 창원시 의창구,24.10.25,연립
19,경상남도 창원시 의창구 동읍 단계리,292,0292,0000,동아바론하우스2,69.3431,80.3159,202410,03,"11,500",2,개인,개인,2011,자여로 127,-,중개거래,경남 창원시 의창구,24.11.05,연립
20,경상남도 창원시 의창구 도계동,420-6,0420,0006,연진상가빌라,69.4200,28.2170,202409,29,"9,500",4,개인,개인,1995,태복산로23번길 24,-,중개거래,경남 창원시 의창구,-,다세대
