시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 소답동,155-4,0155,0004,금강빌라바동,58.7,31.99,201705,27,"         9,500",3,1994,의창대로317번길 11
경상남도 창원의창구 소답동,155-5,0155,0005,금강수정빌라,60.92,32.14,201608,30,"        13,200",4,1994,의창대로317번길 9
경상남도 창원의창구 소답동,155-5,0155,0005,금강수정빌라,66.41,35.03,201706,9,"        11,600",4,1994,의창대로317번길 9
경상남도 창원의창구 소답동,150-20,0150,0020,남양빌라3차,72.08,6.05,201704,15,"        14,770",3,1995,읍성로101번길 14
경상남도 창원의창구 소답동,159-6,0159,0006,남양빌라6차,73.89,39.32,201607,12,"        14,300",2,1995,의창대로299번길 6-18
경상남도 창원의창구 소답동,129-12,0129,0012,대성빌라,47.49,23.19,201607,5,"         9,250",4,1994,의안로62번길 36
경상남도 창원의창구 소답동,155-9,0155,0009,대양녹원빌라,55.8,63.96,201607,18,"        10,300",1,1997,의창대로299번길 6-9
경상남도 창원의창구 소답동,104-6,0104,0006,대양빌라3차,68.76,36.55,201705,27,"        13,400",3,1996,의안로56번길 8-1
경상남도 창원의창구 소답동,151-2,0151,0002,덕산빌라2차,77.5025,43.22,201608,12,"        14,000",4,2002,의창대로299번길 24
경상남도 창원의창구 소답동,131-11,0131,0011,도원빌라,75.57,43.12,201610,17,"        14,800",1,1994,의안로44번길 29
경상남도 창원의창구 소답동,131-11,0131,0011,도원빌라,75.57,43.12,201705,27,"        11,700",4,1994,의안로44번길 29
경상남도 창원의창구 소답동,141-23,0141,0023,동성이화빌라,69.16,35.07,201704,19,"        15,000",1,2003,의안로12번길 39
경상남도 창원의창구 소답동,130-1,0130,0001,북창상가,72.1,26.82,201702,26,"        11,000",3,2000,의안로56번길 26
경상남도 창원의창구 소답동,123-4,0123,0004,성수빌라17차,76.26,47.84,201704,20,"        12,800",2,1997,의안로56번길 16-1
경상남도 창원의창구 소답동,122-12,0122,0012,성수빌라19차,84.17,66.49,201612,27,"        16,500",1,1997,의안로50번길 22
경상남도 창원의창구 소답동,122-12,0122,0012,성수빌라19차,84.17,66.49,201703,20,"        16,250",4,1997,의안로50번길 22
경상남도 창원의창구 소답동,151-20,0151,0020,성수빌라1차,46.1,24.36,201607,11,"        10,100",3,1995,의창대로299번길 16-3
경상남도 창원의창구 소답동,112-8,0112,0008,성수빌라3차,62.45,32.28,201706,8,"        13,400",3,1995,의안로12번길 8
경상남도 창원의창구 소답동,123-16,0123,0016,성수빌라9차,71.64,41.46,201704,24,"        14,500",2,1996,의안로56번길 18
경상남도 창원의창구 소답동,449-2,0449,0002,성원큐브타운A동,70.065,54.37,201703,17,"        16,800",1,2015,천주로36번길 48
경상남도 창원의창구 소답동,449-2,0449,0002,성원큐브타운A동,81.133,62.96,201703,17,"        18,200",3,2015,천주로36번길 48
경상남도 창원의창구 소답동,449-2,0449,0002,성원큐브타운A동,81.133,62.96,201703,17,"        16,800",1,2015,천주로36번길 48
경상남도 창원의창구 소답동,449-2,0449,0002,성원큐브타운A동,81.133,62.96,201703,17,"        18,200",2,2015,천주로36번길 48
경상남도 창원의창구 소답동,449-2,0449,0002,성원큐브타운A동,70.065,54.37,201703,17,"        18,200",3,2015,천주로36번길 48
