시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 양덕동,169-26,0169,0026,팔용아트빌2차,59.97,29.04,201712,9,"        16,000",2,2004,양덕동5길 18
경상남도 창원마산회원구 양덕동,169-43,0169,0043,팔용아트빌나동,44.858,22.71,201708,15,"        12,255",3,2003,양덕동5길 30
경상남도 창원마산회원구 양덕동,169-43,0169,0043,팔용아트빌나동,42.2356,21.59,201804,3,"        11,600",2,2003,양덕동5길 30
경상남도 창원마산회원구 합성동,134-7,0134,0007,(134-7),35.02,18.54,201712,4,"         3,500",3,2003,합성옛길 319
경상남도 창원마산회원구 합성동,145-3,0145,0003,(145-3),56.17,45.9,201803,2,"         6,550",1,1979,합성동11길 22-1
경상남도 창원마산회원구 합성동,209-9,0209,0009,(209-9),72.69,56.17,201802,20,"         8,650",2,1979,합성남12길 47-17
경상남도 창원마산회원구 합성동,261-17,0261,0017,(261-17),51.83,44.8,201801,18,"         7,000",2,1979,합성남14길 18
경상남도 창원마산회원구 합성동,316-33,0316,0033,(316-33),47.7,31.5,201707,31,"         8,300",1,1990,합성동13길 46-1
경상남도 창원마산회원구 합성동,316-36,0316,0036,(316-36),46.89,31.5,201708,30,"         9,000",1,1990,합성동13길 54-1
경상남도 창원마산회원구 합성동,322-43,0322,0043,(322-43),53.82,91.8,201803,23,"        10,000",1,1979,합성옛길 238-1
경상남도 창원마산회원구 합성동,322-8,0322,0008,81합성지구태우,46.31,40.58,201712,29,"         8,000",1,1982,합성동2길 30
경상남도 창원마산회원구 합성동,322-8,0322,0008,81합성지구태우,50.51,43.82,201806,21,"         9,000",1,1982,합성동2길 30
경상남도 창원마산회원구 합성동,88-7,0088,0007,금봉미니,51.9,49.5,201709,15,"         9,000",2,1980,합성서11길 9
경상남도 창원마산회원구 합성동,144-3,0144,0003,남도빌라,50.45,43.5,201806,23,"         6,000",2,1980,구암남1길 20
경상남도 창원마산회원구 합성동,321-1,0321,0001,대영빌라,66.98,31.45,201806,5,"        14,000",5,1996,합성동11길 81
경상남도 창원마산회원구 합성동,167-5,0167,0005,소라,48.27,44.89,201712,1,"         7,500",2,1979,합성동12길 42
경상남도 창원마산회원구 합성동,87-3,0087,0003,영생,57.66,45.78,201710,25,"         9,700",2,1984,합성서8길 13
경상남도 창원마산회원구 합성동,124-56,0124,0056,파크빌,73.82,30.93,201708,18,"        13,600",2,2002,양덕북18길 56
경상남도 창원마산회원구 합성동,124-56,0124,0056,파크빌,73.82,30.93,201712,13,"        12,000",4,2002,양덕북18길 56
경상남도 창원마산회원구 합성동,132-4,0132,0004,팔용,34.13,28.67,201710,27,"         6,400",1,1979,합성동5길 10
경상남도 창원마산회원구 회성동,467-19,0467,0019,(467-19),63,53.18,201803,8,"         7,000",1,1986,북성로 292-16
경상남도 창원마산회원구 회성동,459-10,0459,0010,82회성국민주택(신광),42.91,46.06,201708,11,"         6,000",2,1982,회성남17길 14
경상남도 창원마산회원구 회성동,459-10,0459,0010,82회성국민주택(신광),42.91,46.06,201711,24,"         4,000",2,1982,회성남17길 14
경상남도 창원마산회원구 회성동,119-1,0119,0001,대지장희주택,45.7,26,201710,20,"         3,200",3,2003,회성남10길 35
경상남도 창원마산회원구 회성동,119-1,0119,0001,대지장희주택,45.7,26,201802,7,"         6,500",1,2003,회성남10길 35
경상남도 창원마산회원구 회성동,207-3,0207,0003,동남국민주택,53.28,54.21,201708,7,"         2,000",2,1986,회성북1길 50-1
경상남도 창원마산회원구 회성동,455-10,0455,0010,무궁화,42.45,30.6,201710,30,"         5,500",3,1982,회성남13길 37
경상남도 창원마산회원구 회성동,455-10,0455,0010,무궁화,50.12,35.4,201805,20,"         5,800",2,1982,회성남13길 37
경상남도 창원마산회원구 회성동,74-26,0074,0026,서광주택,38.12,28.2,201803,6,"         6,400",1,1990,회성남22길 9-1
경상남도 창원마산회원구 회성동,447-8,0447,0008,지인아트빌라,61.88,31.71,201803,27,"        10,400",4,2006,회성남7길 19
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,59.3002,44.88,201707,10,"        20,280",4,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,68.7783,51.83,201803,21,"        21,800",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,77.8984,58.85,201804,20,"        21,630",3,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,74.9955,56.64,201804,20,"        20,730",3,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.06,201804,20,"        23,830",3,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.9822,64.23,201804,20,"        23,930",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,74.9955,56.64,201804,20,"        20,730",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,77.8984,58.85,201804,20,"        21,630",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.04,201804,20,"        23,830",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,77.8984,58.85,201804,20,"        21,630",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.06,201804,20,"        26,900",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.04,201804,20,"        23,830",3,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.06,201804,20,"        23,830",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.04,201804,20,"        23,830",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,58.2218,44.35,201804,24,"        20,280",4,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,68.7783,51.83,201804,30,"        22,000",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,68.7783,51.83,201805,25,"        20,150",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,74.9955,56.64,201806,2,"        19,363",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,67.6468,51.25,201806,2,"        22,483",4,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.04,201806,29,"        24,285",4,2017,회성남20길 47
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,58.41,51.35,201708,30,"         6,000",2,1983,회성동1길 12
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,57.66,51.28,201712,16,"         6,450",1,1983,회성동1길 12
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,56.655,51.34,201802,14,"         8,100",1,1983,회성동1길 12
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,54.135,51.35,201803,10,"         7,800",1,1983,회성동1길 12
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,56.655,51.28,201803,20,"         8,500",2,1983,회성동1길 12
경상남도 창원마산회원구 회성동,466-25,0466,0025,회성(466-25),33.6,13.56,201804,30,"         4,400",1,1982,회성남20길 13-1
경상남도 창원마산회원구 회원동,30-56,0030,0056,(30-56),44.46,41.44,201801,15,"         7,300",1,1979,북성로 154-1
경상남도 창원마산회원구 회원동,398-29,0398,0029,(398-29),40.5,19.85,201804,21,"         6,000",2,1983,회원북6길 6
경상남도 창원마산회원구 회원동,645-8,0645,0008,78화란주택11동,66.76,55.95,201710,15,"         6,700",1,1978,회원서4길 24-2
경상남도 창원마산회원구 회원동,645-8,0645,0008,78화란주택11동,39.67,55.95,201805,17,"         6,100",2,1978,회원서4길 24-2
경상남도 창원마산회원구 회원동,640-19,0640,0019,78화란주택31동,39.67,60.08,201712,14,"         6,700",2,1980,회원서2길 13-3
경상남도 창원마산회원구 회원동,640-19,0640,0019,78화란주택31동,39.67,60.08,201802,22,"         8,500",1,1980,회원서2길 13-3
경상남도 창원마산회원구 회원동,645-20,0645,0020,78화란주택39동,39.67,54.83,201805,21,"         7,000",1,1979,회원서3길 15-3
경상남도 창원마산회원구 회원동,644-37,0644,0037,78화란주택46동,39.67,47.93,201802,26,"         3,000",2,1978,회원서4길 12-2
경상남도 창원마산회원구 회원동,645-11,0645,0011,78화란주택56동,64.51,54.05,201804,4,"         6,100",2,1980,회원서3길 17-1
경상남도 창원마산회원구 회원동,667-2,0667,0002,거북,41.19,44.88,201709,16,"         8,800",1,1981,회원북24길 61
경상남도 창원마산회원구 회원동,667-2,0667,0002,거북,41.19,44.88,201803,5,"         8,700",1,1981,회원북24길 61
경상남도 창원마산회원구 회원동,667-2,0667,0002,거북,41.19,44.88,201803,30,"         9,400",2,1981,회원북24길 61
경상남도 창원마산회원구 회원동,666-11,0666,0011,국희,43.69,41.2,201709,18,"        10,000",1,1982,회원북24길 43
경상남도 창원마산회원구 회원동,480-31,0480,0031,금강목화,54.63,39.87,201801,10,"         7,997",4,1997,회원남14길 56-1
경상남도 창원마산회원구 회원동,480-31,0480,0031,금강목화,68.85,50.25,201801,22,"        10,601",3,1997,회원남14길 56-1
경상남도 창원마산회원구 회원동,643-25,0643,0025,누리봄빌라,83.05,64.88,201707,11,"        19,000",2,2013,무학로 572
경상남도 창원마산회원구 회원동,49-14,0049,0014,대림빌라맨숀,84.69,72.56,201708,18,"        16,000",1,1985,회원동15길 6
경상남도 창원마산회원구 회원동,49-14,0049,0014,대림빌라맨숀,83.97,72.7,201711,6,"        16,000",2,1985,회원동15길 6
경상남도 창원마산회원구 회원동,675-28,0675,0028,대아아람가,57.275,51.57,201708,12,"        11,050",3,1991,회원남28길 9
경상남도 창원마산회원구 회원동,675-28,0675,0028,대아아람가,57.275,51.57,201803,19,"        10,500",2,1991,회원남28길 9
