□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,211.3,201911,30,"        46,000",1979,대원로90번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,211.5,202001,20,"        54,168",2007,대원로64번길
경상남도 창원의창구 대원동,3*,단독,25m미만,244.72,211.5,202001,20,"        95,584",2007,대원로
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,212.2,202002,8,"        50,700",1978,대원로56번길
경상남도 창원의창구 대원동,1*,단독,12m미만,218.37,212.4,202003,23,"        78,961",2007,대원로64번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,212.8,202001,17,"        52,318",2007,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,212.8,202001,17,"        51,985",2007,대원로57번길
경상남도 창원의창구 대원동,2*,단독,12m미만,63.4,213.1,201911,7,"        47,820",1978,대원로64번길
경상남도 창원의창구 대원동,1*,단독,12m미만,376.07,213.5,202002,5,"        90,102",2007,대원로64번길
경상남도 창원의창구 대원동,3*,단독,8m미만,63.4,213.7,202001,17,"        53,122",2007,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,235.66,213.8,202001,20,"        64,812",2002,대원로57번길
경상남도 창원의창구 대원동,3*,단독,25m미만,58.18,213.9,202001,20,"        67,042",2007,대원로
경상남도 창원의창구 대원동,2*,단독,8m미만,134.93,213.9,201910,31,"        59,000",1983,대원로56번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,214,201912,2,"        54,900",1978,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,187.95,214.5,202001,17,"        84,503",2007,대원로57번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.12,214.8,202003,27,"        59,575",2007,대원로64번길
경상남도 창원의창구 대원동,2*,단독,8m미만,21.54,215,202001,29,"         5,000",1985,대원로60번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.12,215,202004,18,"        59,500",1979,대원로57번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,215.1,202003,24,"        54,212",1978,대원로64번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.12,215.3,202001,8,"        52,500",1979,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,215.5,202001,18,"        55,753",1978,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,116.19,217,201912,12,"        50,400",1978,대원로56번길
경상남도 창원의창구 대원동,3*,단독,12m미만,232,218,202001,17,"        76,382",2007,두대로55번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,218.7,202005,28,"        56,149",1978,대원로60번길
경상남도 창원의창구 대원동,2*,단독,12m미만,99.77,220.9,201911,16,"        48,330",1978,대원로64번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,221.4,202004,29,"        58,800",1978,대원로64번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,221.8,201911,11,"        47,000",1978,대원로56번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,222.9,202003,13,"        54,965",2007,대원로86번길
경상남도 창원의창구 대원동,*,단독,8m미만,113.21,223.7,202001,2,"        52,000",1979,대원로90번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,224.6,201912,27,"        53,500",1978,대원로53번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.12,225,202001,28,"        60,527",2007,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,92.23,225.7,202005,29,"        58,990",1978,대원로53번길
경상남도 창원의창구 대원동,3*,단독,8m미만,81.77,226.5,202003,11,"        58,625",1980,대원로53번길
경상남도 창원의창구 대원동,3*,단독,8m미만,101.57,228,202003,24,"        54,346",2007,대원로57번길
