□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
42,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,88.9000,202011,20,"16,200",1,-,-,2003,냉천로107번길 14,-,-,-,-,연립
43,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,118.5300,202011,20,"23,900",1,-,-,2003,석동로 80,-,-,-,-,연립
44,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,83.4700,202011,20,"16,600",1,-,-,2003,석동로 80,-,-,-,-,연립
45,경상남도 창원시 진해구 이동,512,0512,0000,무지개,59.4900,64.7200,202011,19,"6,400",4,-,-,1985,병암로29번길 3,-,-,-,-,연립다세대
46,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202011,18,"15,750",4,-,-,2003,석동로 80,-,-,-,-,연립
47,경상남도 창원시 진해구 회현동,19,0019,0000,경남빌라,61.6300,38.3900,202011,18,"6,800",1,-,-,1998,편백로7번길 15,-,-,-,-,연립
48,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.7100,76.8400,202011,17,"14,500",3,-,-,2003,냉천로107번길 14,-,-,-,-,연립
49,경상남도 창원시 진해구 경화동,852-3,0852,0003,안성청운빌라,32.4000,23.9500,202011,16,"3,000",4,-,-,1997,조천북로154번길 12,-,-,-,-,연립
50,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,127.1800,202011,16,"27,200",3,-,-,2003,석동로 80,20210129,-,-,-,연립
51,경상남도 창원시 진해구 속천동,4-2,0004,0002,유진파크뷰B동,73.1850,57.8289,202011,15,"15,800",5,-,-,2012,속천로 57,-,-,-,-,다세대
52,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202011,14,"15,900",4,-,-,2003,석동로 80,-,-,-,-,연립
53,경상남도 창원시 진해구 태백동,11-191,0011,0191,대야빌라,46.1700,41.0000,202011,14,"11,500",1,-,-,1989,대야남로67번길 9-6,-,-,-,-,다세대
54,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,95.7700,202011,12,"17,000",3,-,-,2003,냉천로107번길 14,-,-,-,-,연립
55,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,127.1800,202011,10,"23,000",2,-,-,2003,석동로 80,-,-,-,-,연립
56,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,83.4700,202011,10,"16,600",1,-,-,2003,석동로 80,-,-,-,-,연립
57,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.7100,76.8300,202011,10,"14,500",4,-,-,2003,냉천로107번길 14,-,-,-,-,연립
58,경상남도 창원시 진해구 풍호동,755-8,0755,0008,진흥골든빌라A,75.0675,36.7700,202011,09,"7,050",4,-,-,1995,충장로 519,-,-,-,-,연립다세대
59,경상남도 창원시 진해구 석동,282-5,0282,0005,안성그랜드빌라,67.4400,20.3900,202011,06,"7,200",5,-,-,1994,돌리로10번길 7,-,-,-,-,연립다세대
60,경상남도 창원시 진해구 경화동,843,0843,0000,신우까치빌라,75.5683,64.5817,202011,05,"8,700",1,-,-,1999,조천북로 147,-,-,-,-,연립
61,경상남도 창원시 진해구 대영동,13-1,0013,0001,제황빌라,68.3100,41.6000,202011,05,"6,000",4,-,-,1992,태평로34번길 28,-,-,-,-,다세대
62,경상남도 창원시 진해구 화천동,50-1,0050,0001,중앙상가,80.3900,4.9600,202011,05,"6,800",4,-,-,1980,벚꽃로60번길 19-2,-,-,-,-,연립
63,경상남도 창원시 진해구 덕산동,57-37,0057,0037,은하덕산원룸,32.0800,13.5900,202011,01,"2,175",4,-,-,2001,동진로 136-22,-,-,-,-,다세대
64,경상남도 창원시 진해구 경화동,1280-6,1280,0006,유일전원빌라103,59.8700,50.8640,202010,31,"6,100",2,-,-,1996,조천로13번길 17,-,-,-,-,연립다세대
