□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-01-01 ~ 2024-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
74,경상남도 창원시 진해구 중앙동,5,0005,0000,중앙,53.2900,9.8529,202407,29,"3,500",4,개인,개인,1979,중원동로 53,-,직거래,-,24.07.30,연립
75,경상남도 창원시 진해구 마천동,83,0083,0000,초석빌라,67.2100,51.9730,202407,27,"8,500",2,개인,개인,2012,마천로10번길 7,-,직거래,-,24.07.29,다세대
76,경상남도 창원시 진해구 경화동,1280-8,1280,0008,유일전원빌라102,81.3400,58.3000,202407,20,"5,760",1,개인,개인,1995,조천북로98번길 5,-,직거래,-,24.08.14,연립다세대
77,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202407,19,"21,500",3,개인,개인,2003,석동로 80,-,중개거래,경남 창원시 진해구,24.08.28,연립
78,경상남도 창원시 진해구 경화동,1473-3,1473,0003,경동빌라,45.9600,30.5060,202407,19,"6,500",4,개인,개인,1996,조천로31번길 31,-,직거래,-,24.07.19,연립
79,경상남도 창원시 진해구 이동,512,0512,0000,무지개,59.4900,64.7200,202407,17,"5,000",3,개인,개인,1985,병암로29번길 3,-,직거래,-,24.07.26,연립다세대
80,경상남도 창원시 진해구 경화동,1171-1,1171,0001,건우,53.1900,50.0000,202407,15,"5,400",1,개인,개인,1984,태백로 12,-,직거래,-,24.08.16,연립
81,경상남도 창원시 진해구 여좌동,102-4,0102,0004,용성빌라,67.9400,55.8000,202407,12,"8,000",1,개인,개인,1983,여명로 67,-,중개거래,경남 창원시진해구,24.08.09,연립
82,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202407,10,"21,500",3,개인,개인,2003,석동로 80,20240719,중개거래,경남 창원시진해구,-,연립
83,경상남도 창원시 진해구 여좌동,102-4,0102,0004,용성빌라,67.9400,55.8000,202407,08,"7,500",2,개인,개인,1983,여명로 67,-,중개거래,"경남 창원시 성산구, 경남 창원시 진해구",24.09.10,연립
84,경상남도 창원시 진해구 마천동,50-8,0050,0008,(50-8),77.1000,59.7700,202407,06,"9,100",2,개인,법인,2015,웅동로 105,-,중개거래,경남 창원시진해구,24.08.07,다세대
85,경상남도 창원시 진해구 자은동,407-4,0407,0004,안성명작빌라,84.9900,38.9700,202407,05,"13,000",2,개인,개인,1998,진해대로913번길 29,-,직거래,-,24.07.19,연립다세대
86,경상남도 창원시 진해구 경화동,1176-14,1176,0014,대풍경화빌라,49.6800,37.2800,202407,03,"6,000",2,개인,개인,1995,충장로 281-8,-,중개거래,경남 창원시진해구,24.07.12,연립
87,경상남도 창원시 진해구 자은동,314-4,0314,0004,여명약수빌라,70.7500,48.0700,202406,29,"6,700",3,개인,개인,1993,자은로88번안길 23,-,중개거래,경남 창원시진해구,24.07.22,연립
88,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,95.7700,202406,29,"19,000",2,개인,개인,2003,냉천로107번길 14,-,중개거래,경남 창원시 진해구,24.08.12,연립
89,경상남도 창원시 진해구 경화동,1144-2,1144,0002,삼양프라자,84.7400,43.0540,202406,23,"11,700",1,개인,개인,2000,중초로37번길 21,-,중개거래,경남 창원시진해구,24.08.05,연립
90,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,51.7100,76.8400,202406,21,"17,200",1,개인,개인,2003,냉천로107번길 14,-,중개거래,경남 창원시 진해구,24.10.18,연립
91,경상남도 창원시 진해구 이동,62-185,0062,0185,대우빌라트,51.5850,20.7700,202406,18,"5,500",5,개인,개인,2000,이동로54번길 16,-,중개거래,경남 창원시진해구,24.06.18,다세대
