□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
22,경상남도 창원시 마산회원구 내서읍 삼계리,751-13,0751,0013,T.S휴먼빌라트A동,84.6900,102.8100,202211,05,"16,200",2,-,-,2016,삼계로 127-19,-,중개거래,경남 창원마산합포구,-,연립
23,경상남도 창원시 마산회원구 내서읍 삼계리,739-2,0739,0002,너울림3차,72.4200,98.1475,202211,03,"14,500",1,-,-,2015,삼계로 150,-,중개거래,경남 창원마산회원구,-,다세대
24,경상남도 창원시 마산회원구 내서읍 삼계리,766,0766,0000,위드필1,59.8010,75.5900,202210,28,"11,000",3,-,-,2013,삼계로 117,-,중개거래,경남 창원마산회원구,-,연립
25,경상남도 창원시 마산회원구 내서읍 상곡리,156,0156,0000,동은빌,46.0800,62.8000,202210,24,"4,800",1,-,-,2012,상곡로 93-7,20221206,중개거래,경남 창원마산회원구,-,다세대
26,경상남도 창원시 마산회원구 내서읍 상곡리,156,0156,0000,동은빌,46.0800,62.8000,202210,24,"4,800",1,-,-,2012,상곡로 93-7,20221107,중개거래,경남 창원마산회원구,-,다세대
27,경상남도 창원시 마산회원구 내서읍 삼계리,751-13,0751,0013,T.S휴먼빌라트A동,84.6900,102.8100,202210,22,"22,500",4,-,-,2016,삼계로 127-19,-,중개거래,경남 창원마산합포구,-,연립
28,경상남도 창원시 마산회원구 석전동,163-52,0163,0052,아람,46.4000,37.4500,202210,17,"3,700",3,-,-,1984,석전북2길 23-11,-,중개거래,경남 창원마산회원구,-,연립
29,경상남도 창원시 마산회원구 회원동,633-2,0633,0002,(633-2),102.6800,32.7200,202210,15,"13,000",4,-,-,1990,무학로 626,-,직거래,-,-,다세대
30,경상남도 창원시 마산회원구 합성동,321-1,0321,0001,대영빌라,51.9800,24.4380,202210,09,"11,500",5,-,-,1996,합성동11길 81,-,중개거래,경남 창원마산회원구,-,연립
31,경상남도 창원시 마산회원구 내서읍 삼계리,440-2,0440,0002,두정숲속애2차(2동),75.3850,85.5840,202210,09,"12,000",3,-,-,2012,삼계숲길 169-1,-,중개거래,경남 창원마산회원구,-,다세대
